Wall time,Step,Value
1570098997.3303993,21391,1.0
1570099078.6105266,21523,1.0
1570099170.5817227,21681,1.0
1570099250.771741,21821,1.0
1570099268.0284665,21848,1.0
1570099361.334796,22006,1.0
1570099505.3541965,22245,1.0
1570099532.5029113,22292,1.0
1570099554.6461253,22330,1.0
1570099571.6678271,22358,1.0
1570099638.3864985,22472,1.0
1570099815.3701952,22765,1.0
1570099860.0576634,22840,1.0
1570099914.7531323,22930,1.0
1570100041.7898347,23138,1.0
1570100047.9154472,23148,1.0
1570100068.8325388,23182,1.0
1570100074.9371493,23192,1.0
1570100090.3486903,23218,1.0
1570100116.5613112,23263,1.0
1570100129.570612,23286,1.0
1570100173.5020046,23361,1.0
1570100215.7902331,23427,1.0
1570100282.207498,23540,1.0
1570100358.681691,23670,1.0
1570100365.4665923,23681,1.0
1570100377.1273315,23701,1.0
1570100517.6284237,23938,1.0
1570100604.8915958,24079,1.0
1570100629.3077087,24118,1.0
1570100645.9503815,24147,1.0
1570100726.8423026,24282,1.0
1570100727.9720583,24284,1.0
1570100750.1955855,24322,1.0
1570100763.7806253,24345,1.0
1570100886.9493308,24557,1.0
1570100923.8995445,24621,1.0
1570100981.6214466,24719,1.0
1570100986.6264439,24727,1.0
1570101093.4516966,24901,1.0
1570101112.2001944,24934,1.0
1570101157.175435,25008,1.0
1570101180.4261098,25047,1.0
1570101230.71708,25133,1.0
1570101288.889262,25231,1.0
1570101302.1979313,25253,1.0
1570101347.2624242,25332,1.0
1570101381.6509852,25391,1.0
1570101562.7175155,25686,1.0
1570101639.2725155,25812,1.0
1570101658.8955154,25847,1.0
1570101702.1845155,25921,1.0
1570101789.1285155,26066,1.0
1570101804.5595155,26091,1.0
1570101842.2685156,26155,1.0
1570101850.8665154,26169,1.0
1570101932.4475155,26303,1.0
1570101994.8515153,26403,1.0
1570102030.6005156,26470,1.0
1570102226.3795154,26797,1.0
1570102226.9345155,26798,1.0
1570102244.8585155,26829,1.0
1570102439.3625154,27142,1.0
1570102443.0085156,27148,1.0
1570102446.7795155,27154,1.0
1570102448.9765155,27158,1.0
1570102449.5005157,27159,1.0
1570102521.7255156,27274,1.0
1570102661.5965157,27505,1.0
1570102721.7685156,27603,1.0
1570102727.8905156,27613,1.0
1570102732.2485156,27620,1.0
1570102743.3115153,27638,1.0
1570102863.9905155,27825,1.0
1570102918.1045156,27916,1.0
1570102939.7555153,27950,1.0
1570102950.7535155,27968,1.0
1570103124.2705154,28251,1.0
1570103169.4565156,28321,1.0
1570103245.6675153,28438,1.0
1570103254.3005157,28451,1.0
1570103313.4715154,28543,1.0
1570103332.2655156,28572,1.0
1570103356.1435153,28611,1.0
1570103578.2275155,28970,1.0
1570103595.1605155,28996,1.0
1570103619.9075153,29037,1.0
1570103635.9215155,29062,1.0
1570103726.3605156,29201,1.0
1570103765.0905154,29263,1.0
1570103891.3735156,29471,1.0
1570103901.6975155,29487,1.0
1570103948.0035155,29561,1.0
1570103978.8545156,29611,1.0
1570104061.6605155,29747,1.0
1570104112.2385154,29829,1.0
1570104225.5345154,30000,1.0
1570104229.3925157,30005,1.0
1570104245.4545155,30031,1.0
1570104283.6775155,30092,1.0
1570104333.8525157,30174,1.0
1570104378.1445155,30243,1.0
1570104403.5815156,30284,1.0
1570104430.2345154,30327,1.0
1570104512.9505155,30459,1.0
1570104519.6755154,30470,1.0
1570104605.8675153,30612,1.0
1570104666.7195153,30706,1.0
1570104674.6555154,30720,1.0
1570104686.4055154,30738,1.0
1570104914.9215155,31105,1.0
1570105100.4385154,31406,1.0
1570105117.5285156,31443,1.0
1570105284.4875154,31696,1.0
1570105352.7705154,31808,1.0
1570105393.1695156,31873,1.0
1570105397.5405157,31880,1.0
1570105402.0905154,31888,1.0
1570105431.8375156,31936,1.0
1570105437.3555155,31945,1.0
1570105473.6785154,32004,1.0
1570105481.5945156,32017,1.0
1570105580.6665154,32174,1.0
1570105600.2485156,32207,1.0
1570105746.9845157,32435,1.0
1570105813.6825154,32542,1.0
1570105886.1535156,32657,1.0
1570105912.5605156,32706,1.0
1570105945.8135154,32762,1.0
1570106029.0815156,32894,1.0
